match_id,division,date,home_team,away_team,home_goals,away_goals,result,ht_home_goals,ht_away_goals,ht_result,referee,home_shots,away_shots,home_shots_target,away_shots_target,home_fouls,away_fouls,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red,odds_b365_home,odds_b365_draw,odds_b365_away,odds_avg_home,odds_avg_draw,odds_avg_away,season
1,E0,1993-08-14,Arsenal,Coventry,0,3,A,,,,,,,,,,,,,,,,,,,,,,,1993-1994
2,E0,1993-08-14,Aston Villa,QPR,4,1,H,,,,,,,,,,,,,,,,,,,,,,,1993-1994
3,E0,1993-08-14,Chelsea,Blackburn,1,2,A,,,,,,,,,,,,,,,,,,,,,,,1993-1994
4,E0,1993-08-14,Liverpool,Sheffield Weds,2,0,H,,,,,,,,,,,,,,,,,,,,,,,1993-1994
5,E0,1993-08-14,Man City,Leeds,1,1,D,,,,,,,,,,,,,,,,,,,,,,,1993-1994
6,E0,1993-08-14,Newcastle,Tottenham,0,1,A,,,,,,,,,,,,,,,,,,,,,,,1993-1994
7,E0,1993-08-14,Oldham,Ipswich,0,3,A,,,,,,,,,,,,,,,,,,,,,,,1993-1994
8,E0,1993-08-14,Sheffield United,Swindon,3,1,H,,,,,,,,,,,,,,,,,,,,,,,1993-1994
9,E0,1993-08-14,Southampton,Everton,0,2,A,,,,,,,,,,,,,,,,,,,,,,,1993-1994
10,E0,1993-08-14,West Ham,Wimbledon,0,2,A,,,,,,,,,,,,,,,,,,,,,,,1993-1994
11,E0,1993-08-15,Norwich,Man United,0,2,A,,,,,,,,,,,,,,,,,,,,,,,1993-1994
12,E0,1993-08-16,Tottenham,Arsenal,0,1,A,,,,,,,,,,,,,,,,,,,,,,,1993-1994
16,E0,1993-08-17,Wimbledon,Chelsea,1,1,D,,,,,,,,,,,,,,,,,,,,,,,1993-1994
15,E0,1993-08-17,Leeds,West Ham,1,0,H,,,,,,,,,,,,,,,,,,,,,,,1993-1994
14,E0,1993-08-17,Ipswich,Southampton,1,0,H,,,,,,,,,,,,,,,,,,,,,,,1993-1994
13,E0,1993-08-17,Everton,Man City,1,0,H,,,,,,,,,,,,,,,,,,,,,,,1993-1994
17,E0,1993-08-18,Blackburn,Norwich,2,3,A,,,,,,,,,,,,,,,,,,,,,,,1993-1994
18,E0,1993-08-18,Coventry,Newcastle,2,1,H,,,,,,,,,,,,,,,,,,,,,,,1993-1994
19,E0,1993-08-18,Man United,Sheffield United,3,0,H,,,,,,,,,,,,,,,,,,,,,,,1993-1994
20,E0,1993-08-18,QPR,Liverpool,1,3,A,,,,,,,,,,,,,,,,,,,,,,,1993-1994
21,E0,1993-08-18,Sheffield Weds,Aston Villa,0,0,D,,,,,,,,,,,,,,,,,,,,,,,1993-1994
22,E0,1993-08-18,Swindon,Oldham,0,1,A,,,,,,,,,,,,,,,,,,,,,,,1993-1994
32,E0,1993-08-21,Wimbledon,Aston Villa,2,2,D,,,,,,,,,,,,,,,,,,,,,,,1993-1994
31,E0,1993-08-21,Tottenham,Man City,1,0,H,,,,,,,,,,,,,,,,,,,,,,,1993-1994
30,E0,1993-08-21,Sheffield Weds,Arsenal,0,1,A,,,,,,,,,,,,,,,,,,,,,,,1993-1994
29,E0,1993-08-21,QPR,Southampton,2,1,H,,,,,,,,,,,,,,,,,,,,,,,1993-1994
28,E0,1993-08-21,Man United,Newcastle,1,1,D,,,,,,,,,,,,,,,,,,,,,,,1993-1994
25,E0,1993-08-21,Everton,Sheffield United,4,2,H,,,,,,,,,,,,,,,,,,,,,,,1993-1994
26,E0,1993-08-21,Ipswich,Chelsea,1,0,H,,,,,,,,,,,,,,,,,,,,,,,1993-1994
24,E0,1993-08-21,Coventry,West Ham,1,1,D,,,,,,,,,,,,,,,,,,,,,,,1993-1994
23,E0,1993-08-21,Blackburn,Oldham,1,0,H,,,,,,,,,,,,,,,,,,,,,,,1993-1994
27,E0,1993-08-21,Leeds,Norwich,0,4,A,,,,,,,,,,,,,,,,,,,,,,,1993-1994
33,E0,1993-08-22,Swindon,Liverpool,0,5,A,,,,,,,,,,,,,,,,,,,,,,,1993-1994
