player_id,name,season,position,games,goals,shots,time,xG,assists,xA,key_passes,team,yellow,red,npg,npxG,xGChain,xGBuildup
12,Mario Vrancic,2019,Sub,20,1,14,613,1.0978842079639437,0,1.0300543904304504,7,Norwich,3,0,1,1.0978842079639437,1.7203896027058363,1.2261471096426249
37,Loris Karius,2023,GK,1,0,0,90,0.0,0,0.0,0,Newcastle United,0,0,0,0.0,0.0,0.0
37,Loris Karius,2017,GK,19,0,0,1710,0.0,0,0.0,0,Liverpool,1,0,0,0.0,4.033254375681281,4.033254375681281
37,Loris Karius,2016,GK,10,0,0,900,0.0,0,0.0,0,Liverpool,0,0,0,0.0,1.901400484144688,1.901400484144688
47,Yoshinori Muto,2019,Sub,8,0,1,193,0.0836718007922172,0,0.0141810001805424,1,Newcastle United,0,0,0,0.0836718007922172,0.2069709002971649,0.1091180993244052
47,Yoshinori Muto,2018,Sub,17,1,6,512,1.0190250873565674,0,0.3132422044873237,5,Newcastle United,1,0,1,1.0190250873565674,1.3042729999870062,0.7278854101896286
62,Lukas Rupp,2021,MC,19,0,12,744,0.4662756929174065,0,1.3048201203346252,9,Norwich,0,0,0,0.4662756929174065,2.5540910232812166,1.5202579200267792
62,Lukas Rupp,2019,Sub,12,0,4,701,0.8557934034615755,0,0.775527186691761,8,Norwich,1,0,0,0.8557934034615755,2.5548313884064555,0.9235105039551854
65,Timo Werner,2024,Sub,3,0,0,29,0.0,0,0.0,0,Tottenham,0,0,0,0.0,0.1030937228351831,0.1030937228351831
65,Timo Werner,2023,FWL,13,2,29,827,4.212947295978665,3,3.4769514203071594,15,Tottenham,1,0,2,4.212947295978665,10.507240116596222,3.767841313034296
65,Timo Werner,2021,FW,21,4,45,1291,6.1664436142891645,1,0.3183775003999471,8,Chelsea,1,0,4,6.1664436142891645,9.69383104518056,3.6192964669317007
65,Timo Werner,2020,FW,35,6,80,2605,13.432795317843556,8,6.667280228808522,36,Chelsea,2,0,6,13.432795317843556,20.53346479311585,5.242117813788354
76,Fabian Schär,2024,DC,3,1,5,207,0.1645298488438129,0,0.0,0,Newcastle United,0,1,1,0.1645298488438129,0.6296333819627762,0.5554612651467323
76,Fabian Schär,2023,DC,36,4,35,3057,2.679914410226047,1,1.2247396316379309,9,Newcastle United,5,0,4,2.679914410226047,13.900441944599152,13.216225143522024
76,Fabian Schär,2022,DC,36,1,56,3223,5.092751467600465,3,2.4296507444232702,19,Newcastle United,7,0,1,5.092751467600465,10.184462796896696,8.898998957127333
76,Fabian Schär,2021,DC,25,2,20,2167,0.8395391143858433,2,1.479282571002841,9,Newcastle United,4,0,2,0.8395391143858433,3.370413671247661,2.830271666869521
76,Fabian Schär,2020,DC,18,1,12,1252,1.4605767242610457,0,0.0,0,Newcastle United,4,1,0,0.6994077078998089,0.9551224838942288,0.8735605869442225
76,Fabian Schär,2019,DC,22,2,20,1675,1.0595886493101716,0,0.1013798560015857,4,Newcastle United,5,0,2,1.0595886493101716,2.5786611838266253,1.86530536133796
