season,team,played,wins,draws,losses,goals_for,goals_against,goal_diff,points
1993-1994,Man United,42,27,11,4,80.0,38.0,42.0,92
1993-1994,Blackburn,42,25,9,8,63.0,36.0,27.0,84
1993-1994,Newcastle,42,23,8,11,82.0,41.0,41.0,77
1993-1994,Arsenal,42,18,17,7,53.0,28.0,25.0,71
1993-1994,Leeds,42,18,16,8,65.0,39.0,26.0,70
1993-1994,Wimbledon,42,18,11,13,56.0,53.0,3.0,65
1993-1994,Sheffield Weds,42,16,16,10,76.0,54.0,22.0,64
1993-1994,Liverpool,42,17,9,16,59.0,55.0,4.0,60
1993-1994,QPR,42,16,12,14,62.0,61.0,1.0,60
1993-1994,Aston Villa,42,15,12,15,46.0,50.0,-4.0,57
1993-1994,Coventry,42,14,14,14,43.0,45.0,-2.0,56
1993-1994,Norwich,42,12,17,13,65.0,61.0,4.0,53
1993-1994,West Ham,42,13,13,16,47.0,58.0,-11.0,52
1993-1994,Chelsea,42,13,12,17,49.0,53.0,-4.0,51
1993-1994,Man City,42,9,18,15,38.0,49.0,-11.0,45
1993-1994,Tottenham,42,11,12,19,54.0,59.0,-5.0,45
1993-1994,Everton,42,12,8,22,42.0,63.0,-21.0,44
1993-1994,Southampton,42,12,7,23,49.0,66.0,-17.0,43
1993-1994,Ipswich,42,9,16,17,35.0,58.0,-23.0,43
1993-1994,Sheffield United,42,8,18,16,42.0,60.0,-18.0,42
1993-1994,Oldham,42,9,13,20,42.0,68.0,-26.0,40
1993-1994,Swindon,42,5,15,22,47.0,100.0,-53.0,30
1994-1995,Blackburn,42,27,8,7,80.0,39.0,41.0,89
1994-1995,Man United,42,26,10,6,77.0,28.0,49.0,88
1994-1995,Nott'm Forest,42,22,11,9,72.0,43.0,29.0,77
1994-1995,Liverpool,42,21,11,10,65.0,37.0,28.0,74
1994-1995,Leeds,42,20,13,9,59.0,38.0,21.0,73
1994-1995,Newcastle,42,20,12,10,67.0,47.0,20.0,72
1994-1995,Tottenham,42,16,14,12,66.0,58.0,8.0,62
1994-1995,QPR,42,17,9,16,61.0,59.0,2.0,60
1994-1995,Wimbledon,42,15,11,16,48.0,65.0,-17.0,56
1994-1995,Southampton,42,12,18,12,61.0,63.0,-2.0,54
1994-1995,Chelsea,42,13,15,14,50.0,55.0,-5.0,54
1994-1995,Sheffield Weds,42,13,12,17,49.0,57.0,-8.0,51
1994-1995,Arsenal,42,13,12,17,52.0,49.0,3.0,51
1994-1995,West Ham,42,13,11,18,44.0,48.0,-4.0,50
1994-1995,Coventry,42,12,14,16,44.0,62.0,-18.0,50
1994-1995,Everton,42,11,17,14,44.0,51.0,-7.0,50
1994-1995,Man City,42,12,13,17,53.0,64.0,-11.0,49
1994-1995,Aston Villa,42,11,15,16,51.0,56.0,-5.0,48
1994-1995,Crystal Palace,42,11,12,19,34.0,49.0,-15.0,45
1994-1995,Norwich,42,10,13,19,37.0,54.0,-17.0,43
1994-1995,Leicester,42,6,11,25,45.0,80.0,-35.0,29
1994-1995,Ipswich,42,7,6,29,36.0,93.0,-57.0,27
1995-1996,Man United,38,25,7,6,73.0,35.0,38.0,82
1995-1996,Newcastle,38,24,6,8,66.0,37.0,29.0,78
1995-1996,Liverpool,38,20,11,7,70.0,34.0,36.0,71
1995-1996,Aston Villa,38,18,9,11,52.0,35.0,17.0,63
1995-1996,Arsenal,38,17,12,9,49.0,32.0,17.0,63
1995-1996,Blackburn,38,18,7,13,61.0,47.0,14.0,61
1995-1996,Tottenham,38,16,13,9,50.0,38.0,12.0,61
1995-1996,Everton,38,17,10,11,64.0,44.0,20.0,61
1995-1996,Nott'm Forest,38,15,13,10,50.0,54.0,-4.0,58
1995-1996,West Ham,38,14,9,15,43.0,52.0,-9.0,51
1995-1996,Chelsea,38,12,14,12,46.0,44.0,2.0,50
1995-1996,Leeds,38,12,7,19,40.0,57.0,-17.0,43
1995-1996,Middlesbrough,38,11,10,17,35.0,50.0,-15.0,43
1995-1996,Wimbledon,38,10,11,17,55.0,70.0,-15.0,41
1995-1996,Sheffield Weds,38,10,10,18,48.0,61.0,-13.0,40
1995-1996,Southampton,38,9,11,18,34.0,52.0,-18.0,38
1995-1996,Man City,38,9,11,18,33.0,58.0,-25.0,38
1995-1996,Coventry,38,8,14,16,42.0,60.0,-18.0,38
1995-1996,QPR,38,9,6,23,38.0,57.0,-19.0,33
1995-1996,Bolton,38,8,5,25,39.0,71.0,-32.0,29
1996-1997,Man United,38,21,12,5,76.0,44.0,32.0,75
