team_name,team_id
Middlesbrough FC,641
Manchester City,281
Wimbledon FC (- 2004),114309
Arsenal FC,11
Nottingham Forest,703
Bolton Wanderers,355
Everton FC,29
Newcastle United,762
West Ham United,379
Liverpool FC,31
Manchester United,985
Leeds United,399
Tottenham Hotspur,148
Coventry City,990
Aston Villa,405
Blackburn Rovers,164
Sheffield Wednesday,1035
Chelsea FC,631
Southampton FC,180
Queens Park Rangers,1039
Sunderland AFC,289
Fulham FC,931
Stoke City,512
Swansea City,2288
West Bromwich Albion,984
Wigan Athletic,1071
Norwich City,1123
Reading FC,1032
Birmingham City,337
Portsmouth FC,1020
Charlton Athletic,358
Crystal Palace,873
Brighton & Hove Albion,1237
Brentford FC,1148
Wolverhampton Wanderers,543
AFC Bournemouth,989
Leicester City,1003
Ipswich Town,677
Derby County,22
Watford FC,1010
Bradford City,1027
Hull City,3008
Burnley FC,1132
Cardiff City,603
Huddersfield Town,1110
Swindon Town,352
Oldham Athletic,1078
Sheffield United,350
Luton Town,1031
Blackpool FC,1181
Barnsley FC,349
